RELEASE;FILENAME;LOC;LOC_added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;console/src/main/java/org/syncope/console/pages/Resources.java;11;1301;328;30;6;296;0;44;4;3461;1096;79;No
1;console/src/main/java/org/syncope/console/pages/Roles.java;11;482;252;21;0;0;0;23;3;2859;1096;124;No
1;console/src/main/java/org/syncope/console/pages/Users.java;11;5495;518;62;557;450;6;89;3;3964;1096;45;No
1;console/src/main/java/org/syncope/console/pages/Login.java;43;1040;141;30;145;116;4;35;3;3072;1096;88;No
1;console/src/main/java/org/syncope/console/pages/Logout.java;19;66;25;9;0;0;0;7;3;2219;1096;317;No
1;core/src/main/java/org/syncope/core/persistence/dao/AttributeValueDAO.java;23;73;29;5;0;0;0;15;3;2990;1096;199;Yes
1;core/src/main/java/org/syncope/core/persistence/dao/impl/AttributeValueDAOImpl.java;55;213;63;10;13;63;1;21;3;3076;1096;146;Yes
1;core/src/test/java/org/syncope/core/persistence/test/RelationshipTest.java;137;232;168;58;0;0;0;4;1;145;60;36;Yes
1;core/src/main/java/org/syncope/core/persistence/DefaultContentLoader.java;79;495;92;15;-51;92;-2;34;5;2671;1096;79;Yes
1;core/src/main/java/org/syncope/core/rest/controller/SchemaController.java;43;558;70;15;-3;65;0;38;4;3602;1096;95;No
1;core/src/test/java/org/syncope/core/rest/test/AbstractTestITCase.java;32;140;35;5;8;35;0;26;3;3019;1096;116;Yes
1;core/src/test/java/org/syncope/core/rest/test/SchemaTestITCase.java;31;60;36;10;0;0;0;6;1;120;60;20;No
1;client/src/main/java/org/syncope/client/to/AbstractBaseTO.java;35;62;40;9;0;0;0;7;3;2259;1096;323;Yes
1;client/src/main/java/org/syncope/client/to/DerivedAttributeSchemaTO.java;49;104;61;10;0;0;0;10;3;2286;1096;229;Yes
1;console/src/main/java/org/syncope/console/pages/Schema.java;41;4675;652;99;111;372;2;47;3;3417;1096;73;No
1;console/src/main/java/org/syncope/console/rest/RestClient.java;44;148;55;15;0;0;0;10;3;2630;1096;263;Yes
1;core/src/main/java/org/syncope/core/persistence/beans/AbstractAttributable.java;46;510;61;12;-28;61;-1;41;4;3687;1096;90;No
1;core/src/main/java/org/syncope/core/persistence/beans/AbstractAttribute.java;58;266;77;11;-1;77;0;24;4;3241;1096;135;Yes
1;core/src/main/java/org/syncope/core/persistence/beans/AbstractDerivedSchema.java;44;118;59;9;2;59;0;13;3;2629;1096;202;Yes
1;core/src/main/java/org/syncope/core/persistence/beans/role/RoleAttribute.java;76;149;91;12;0;0;0;12;1;365;85;30;No
1;core/src/main/java/org/syncope/core/persistence/beans/role/RoleAttributeValue.java;32;85;37;9;0;0;0;9;3;2400;1096;267;Yes
1;core/src/main/java/org/syncope/core/persistence/beans/role/RoleDerivedAttribute.java;45;86;53;11;3;53;0;8;3;2864;1096;358;Yes
1;core/src/main/java/org/syncope/core/persistence/beans/role/RoleDerivedSchema.java;77;185;93;12;-7;93;0;15;3;2683;1096;179;Yes
1;core/src/main/java/org/syncope/core/persistence/beans/role/RoleSchema.java;74;174;89;13;0;0;0;13;1;380;85;29;No
1;core/src/main/java/org/syncope/core/persistence/beans/role/SyncopeRole.java;136;742;164;17;23;164;1;43;3;3633;1096;84;No
1;core/src/main/java/org/syncope/core/persistence/beans/user/SyncopeUser.java;121;1139;144;16;26;144;0;70;4;4198;1096;60;No
1;core/src/main/java/org/syncope/core/persistence/beans/user/UserAttribute.java;76;148;91;12;0;0;0;12;1;401;85;33;No
1;core/src/main/java/org/syncope/core/persistence/beans/user/UserAttributeValue.java;32;97;37;8;0;0;0;12;3;2468;1096;206;Yes
1;core/src/main/java/org/syncope/core/persistence/beans/user/UserDerivedAttribute.java;45;84;53;8;0;0;0;11;3;3018;1096;274;Yes
1;core/src/main/java/org/syncope/core/persistence/beans/user/UserDerivedSchema.java;74;184;89;12;-9;89;-1;16;3;2774;1096;173;Yes
1;core/src/main/java/org/syncope/core/persistence/beans/user/UserSchema.java;74;185;89;14;0;0;0;13;1;390;85;30;No
1;core/src/main/java/org/syncope/core/persistence/dao/DerivedSchemaDAO.java;23;37;13;3;-29;4;-3;11;3;2933;1096;267;Yes
1;core/src/main/java/org/syncope/core/persistence/dao/impl/DerivedSchemaDAOImpl.java;58;190;68;11;0;0;0;17;3;3108;1096;183;Yes
1;core/src/main/java/org/syncope/core/persistence/dao/impl/SchemaDAOImpl.java;60;433;150;11;-1;125;0;38;3;3559;1096;94;No
1;core/src/main/java/org/syncope/core/persistence/Attributable.java;46;61;55;15;0;0;0;4;1;62;23;16;Yes
1;console/src/main/java/org/syncope/console/pages/Authentication.java;76;85;85;43;0;0;0;2;1;45;41;23;No
1;core/src/main/java/org/syncope/core/rest/controller/AbstractController.java;33;258;47;11;0;0;0;23;3;3126;1096;136;No
