RELEASE;FILENAME;LOC;LOC_added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;identityconnectors/bundles/staticws/ws-target-resource/src/main/java/org/syncope/identityconnectors/bundles/staticwebservice/wstarget/ProvisioningImpl.java;243;1235;375;58,81;-629;296;-29,95;21;1;287;54;13,67;No
1;identityconnectors/bundles/staticws/ws-target-resource/src/test/java/it/eposse/samples/cxf/test/ProvisioningTestITCase.java;248;438;366;39,82;-381;366;-34,64;11;1;145;50;13,18;Yes
1;core/src/main/java/org/syncope/core/persistence/beans/SyncopeConfiguration.java;35;76;42;9,50;0;0;0;8;3;2312;1096;289,00;Yes
1;core/src/main/java/org/syncope/core/persistence/dao/SyncopeConfigurationDAO.java;23;62;29;6,20;0;0;0;10;3;2825;1096;282,50;Yes
1;core/src/main/java/org/syncope/core/persistence/dao/impl/SyncopeConfigurationDAOImpl.java;44;135;50;9,00;3;50;0,20;15;3;2932;1096;195,47;Yes
1;core/src/main/java/org/syncope/core/rest/data/UserDataBinder.java;66;1596;109;16,45;25;103;0,26;97;5;4660;1096;48,04;No
1;core/src/main/java/org/syncope/core/persistence/beans/Resource.java;109;890;132;14,35;52;132;0,84;62;4;4230;1096;68,23;Yes
1;core/src/main/java/org/syncope/core/persistence/beans/SchemaMapping.java;122;338;149;14,08;2;149;0,08;24;3;2700;1096;112,50;No
1;core/src/main/java/org/syncope/core/persistence/dao/ResourceDAO.java;23;87;29;4,58;-1;29;-0,05;19;3;2931;1096;154,26;No
1;core/src/main/java/org/syncope/core/persistence/dao/SchemaMappingDAO.java;23;29;29;14,50;0;0;0;2;1;60;42;30,00;No
1;core/src/main/java/org/syncope/core/persistence/dao/impl/ResourceDAOImpl.java;83;492;96;12,30;7;96;0,18;40;3;3605;1096;90,13;No
1;core/src/main/java/org/syncope/core/persistence/dao/impl/SchemaMappingDAOImpl.java;74;127;94;21,17;0;0;0;6;1;147;42;24,50;No
1;core/src/test/java/org/syncope/core/test/persistence/ResourceDAOTest.java;90;443;125;11,66;-3;125;-0,08;38;4;3453;1096;90,87;Yes
