RELEASE;FILENAME;LOC;LOC_added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java;66;78;74;39,00;74;74;37,00;2;2;378;207;189,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java;32;37;37;37,00;37;37;37,00;1;1;207;207;207,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java;33;40;38;20,00;38;38;19,00;2;2;378;207;189,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java;34;40;39;20,00;39;39;19,50;2;2;378;207;189,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java;81;107;95;26,75;96;95;24,00;4;2;499;207;124,75;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java;76;91;87;30,33;88;87;29,33;3;2;471;207;157,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java;63;78;70;19,50;71;70;17,75;4;2;499;207;124,75;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java;101;123;113;30,75;114;113;28,50;4;2;499;207;124,75;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java;311;414;329;69,00;336;329;56,00;6;3;501;207;83,50;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java;75;93;83;23,25;84;83;21,00;4;2;499;207;124,75;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java;49;63;58;21,00;58;58;19,33;3;2;406;207;135,33;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java;111;130;122;32,50;123;122;30,75;4;2;499;207;124,75;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClient.java;324;384;359;96,00;369;359;92,25;4;2;499;207;124,75;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java;204;243;224;48,60;231;224;46,20;5;2;500;207;100,00;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java;540;645;585;161,25;586;585;146,50;4;2;499;207;124,75;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java;332;390;365;78,00;366;365;73,20;5;2;508;207;101,60;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java;88;108;98;27,00;99;98;24,75;4;2;499;207;124,75;Yes
