Dataset;#TrainingRelease;%training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature Selection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
BOOKKEEPER;6;80.21;54.68;79;IBk;Best first;undersampling;No;479;33;105;40;0.94;0.92;0.95;0.67
BOOKKEEPER;6;80.21;54.68;79;IBk;Best first;undersampling;Sensitive Threshold;471;1;137;48;1;0.91;0.95;0.8
BOOKKEEPER;6;80.21;54.68;79;IBk;Best first;undersampling;Sensitive Learning;478;33;105;41;0.94;0.92;0.94;0.67
BOOKKEEPER;6;80.21;54.68;79;IBk;Best first;SMOTE;No;480;33;105;39;0.94;0.92;0.95;0.67
BOOKKEEPER;6;80.21;54.68;79;IBk;Best first;SMOTE;Sensitive Threshold;474;1;137;45;1;0.91;0.95;0.81
BOOKKEEPER;6;80.21;54.68;79;IBk;Best first;SMOTE;Sensitive Learning;480;33;105;39;0.94;0.92;0.95;0.67
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;No;No;No;296;11;127;223;0.96;0.57;0.86;0.31
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;No;No;Sensitive Threshold;14;1;137;505;0.93;0.03;0.51;0.01
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;No;No;Sensitive Learning;301;11;127;218;0.96;0.58;0.88;0.32
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;No;oversampling;No;506;121;17;13;0.81;0.97;0.81;0.14
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;No;oversampling;Sensitive Threshold;317;17;121;202;0.95;0.61;0.74;0.33
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;No;oversampling;Sensitive Learning;503;101;37;16;0.83;0.97;0.82;0.31
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;No;undersampling;No;291;9;129;228;0.97;0.56;0.85;0.31
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;No;undersampling;Sensitive Threshold;15;2;136;504;0.88;0.03;0.51;0.01
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;No;undersampling;Sensitive Learning;502;73;65;17;0.87;0.97;0.87;0.51
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;No;SMOTE;No;352;15;123;167;0.96;0.68;0.85;0.41
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;No;SMOTE;Sensitive Threshold;66;1;137;453;0.99;0.13;0.56;0.05
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;No;SMOTE;Sensitive Learning;261;8;130;258;0.97;0.5;0.87;0.27
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;Best first;No;No;512;120;18;7;0.81;0.99;0.85;0.17
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;Best first;No;Sensitive Threshold;261;5;133;258;0.98;0.5;0.73;0.28
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;Best first;No;Sensitive Learning;499;51;87;20;0.91;0.96;0.89;0.65
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;Best first;oversampling;No;486;101;37;33;0.83;0.94;0.79;0.25
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;Best first;oversampling;Sensitive Threshold;278;6;132;241;0.98;0.54;0.75;0.3
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;Best first;oversampling;Sensitive Learning;461;66;72;58;0.87;0.89;0.81;0.42
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;Best first;undersampling;No;512;120;18;7;0.81;0.99;0.84;0.17
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;Best first;undersampling;Sensitive Threshold;257;3;135;262;0.99;0.5;0.74;0.28
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;Best first;undersampling;Sensitive Learning;488;55;83;31;0.9;0.94;0.85;0.58
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;Best first;SMOTE;No;509;118;20;10;0.81;0.98;0.86;0.18
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;Best first;SMOTE;Sensitive Threshold;265;6;132;254;0.98;0.51;0.73;0.28
BOOKKEEPER;6;80.21;54.68;79;Naive Bayes;Best first;SMOTE;Sensitive Learning;495;58;80;24;0.9;0.95;0.9;0.59
