Dataset;#TrainingRelease;%training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature Selection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
BOOKKEEPER;1;7.29;53.72;38.61;Naive Bayes;Best first;oversampling;Sensitive Learning;30;11;175;87;0.73;0.26;0.72;0.22
BOOKKEEPER;1;7.29;53.72;38.61;Naive Bayes;Best first;undersampling;No;27;8;178;90;0.77;0.23;0.7;0.22
BOOKKEEPER;1;7.29;53.72;38.61;Naive Bayes;Best first;undersampling;Sensitive Threshold;22;7;179;95;0.76;0.19;0.58;0.17
BOOKKEEPER;1;7.29;53.72;38.61;Naive Bayes;Best first;undersampling;Sensitive Learning;27;8;178;90;0.77;0.23;0.78;0.22
BOOKKEEPER;1;7.29;53.72;38.61;Naive Bayes;Best first;SMOTE;No;28;12;174;89;0.7;0.24;0.7;0.2
BOOKKEEPER;1;7.29;53.72;38.61;Naive Bayes;Best first;SMOTE;Sensitive Threshold;27;9;177;90;0.75;0.23;0.59;0.21
BOOKKEEPER;1;7.29;53.72;38.61;Naive Bayes;Best first;SMOTE;Sensitive Learning;29;12;174;88;0.71;0.25;0.75;0.21
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;No;No;No;97;91;242;24;0.52;0.8;0.83;0.45
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;No;No;Sensitive Threshold;4;6;327;117;0.4;0.03;0.51;0.02
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;No;No;Sensitive Learning;99;93;240;22;0.52;0.82;0.83;0.45
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;No;oversampling;No;93;101;232;28;0.48;0.77;0.79;0.39
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;No;oversampling;Sensitive Threshold;19;5;328;102;0.79;0.16;0.57;0.19
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;No;oversampling;Sensitive Learning;99;110;223;22;0.47;0.82;0.8;0.4
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;No;undersampling;No;100;109;224;21;0.48;0.83;0.82;0.41
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;No;undersampling;Sensitive Threshold;7;8;325;114;0.47;0.06;0.52;0.05
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;No;undersampling;Sensitive Learning;101;104;229;20;0.49;0.83;0.83;0.43
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;No;SMOTE;No;97;81;252;24;0.54;0.8;0.83;0.49
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;No;SMOTE;Sensitive Threshold;8;13;320;113;0.38;0.07;0.51;0.04
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;No;SMOTE;Sensitive Learning;95;90;243;26;0.51;0.79;0.83;0.44
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;Best first;No;No;91;79;254;30;0.54;0.75;0.81;0.46
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;Best first;No;Sensitive Threshold;8;8;325;113;0.5;0.07;0.52;0.06
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;Best first;No;Sensitive Learning;90;85;248;31;0.51;0.74;0.83;0.43
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;Best first;oversampling;No;75;84;249;46;0.47;0.62;0.77;0.33
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;Best first;oversampling;Sensitive Threshold;31;15;318;90;0.67;0.26;0.61;0.26
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;Best first;oversampling;Sensitive Learning;97;107;226;24;0.48;0.8;0.8;0.39
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;Best first;undersampling;No;100;110;223;21;0.48;0.83;0.81;0.4
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;Best first;undersampling;Sensitive Threshold;11;11;322;110;0.5;0.09;0.53;0.08
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;Best first;undersampling;Sensitive Learning;100;109;224;21;0.48;0.83;0.81;0.41
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;Best first;SMOTE;No;90;86;247;31;0.51;0.74;0.81;0.42
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;Best first;SMOTE;Sensitive Threshold;13;17;316;108;0.43;0.11;0.53;0.07
BOOKKEEPER;2;16.42;45.32;26.65;Random Forest;Best first;SMOTE;Sensitive Learning;90;86;247;31;0.51;0.74;0.81;0.42
BOOKKEEPER;2;16.42;45.32;26.65;IBk;No;No;No;93;112;221;28;0.45;0.77;0.72;0.35
BOOKKEEPER;2;16.42;45.32;26.65;IBk;No;No;Sensitive Threshold;93;112;221;28;0.45;0.77;0.72;0.35
BOOKKEEPER;2;16.42;45.32;26.65;IBk;No;No;Sensitive Learning;93;112;221;28;0.45;0.77;0.72;0.35
BOOKKEEPER;2;16.42;45.32;26.65;IBk;No;oversampling;No;94;142;191;27;0.4;0.78;0.69;0.27
BOOKKEEPER;2;16.42;45.32;26.65;IBk;No;oversampling;Sensitive Threshold;94;141;192;27;0.4;0.78;0.68;0.27
BOOKKEEPER;2;16.42;45.32;26.65;IBk;No;oversampling;Sensitive Learning;96;143;190;25;0.4;0.79;0.71;0.28
BOOKKEEPER;2;16.42;45.32;26.65;IBk;No;undersampling;No;95;134;199;26;0.41;0.79;0.69;0.3
BOOKKEEPER;2;16.42;45.32;26.65;IBk;No;undersampling;Sensitive Threshold;95;134;199;26;0.41;0.79;0.69;0.3
BOOKKEEPER;2;16.42;45.32;26.65;IBk;No;undersampling;Sensitive Learning;94;133;200;27;0.41;0.78;0.68;0.3
BOOKKEEPER;2;16.42;45.32;26.65;IBk;No;SMOTE;No;87;94;239;34;0.48;0.72;0.72;0.38
BOOKKEEPER;2;16.42;45.32;26.65;IBk;No;SMOTE;Sensitive Threshold;87;94;239;34;0.48;0.72;0.72;0.38
BOOKKEEPER;2;16.42;45.32;26.65;IBk;No;SMOTE;Sensitive Learning;94;118;215;27;0.44;0.78;0.73;0.34
BOOKKEEPER;2;16.42;45.32;26.65;IBk;Best first;No;No;87;85;248;34;0.51;0.72;0.73;0.41
BOOKKEEPER;2;16.42;45.32;26.65;IBk;Best first;No;Sensitive Threshold;87;85;248;34;0.51;0.72;0.73;0.41
BOOKKEEPER;2;16.42;45.32;26.65;IBk;Best first;No;Sensitive Learning;87;85;248;34;0.51;0.72;0.73;0.41
BOOKKEEPER;2;16.42;45.32;26.65;IBk;Best first;oversampling;No;86;112;221;35;0.43;0.71;0.7;0.31
BOOKKEEPER;2;16.42;45.32;26.65;IBk;Best first;oversampling;Sensitive Threshold;86;112;221;35;0.43;0.71;0.69;0.31
BOOKKEEPER;2;16.42;45.32;26.65;IBk;Best first;oversampling;Sensitive Learning;87;104;229;34;0.46;0.72;0.72;0.34
BOOKKEEPER;2;16.42;45.32;26.65;IBk;Best first;undersampling;No;89;97;236;32;0.48;0.74;0.72;0.38
BOOKKEEPER;2;16.42;45.32;26.65;IBk;Best first;undersampling;Sensitive Threshold;89;97;236;32;0.48;0.74;0.72;0.38
BOOKKEEPER;2;16.42;45.32;26.65;IBk;Best first;undersampling;Sensitive Learning;88;96;237;33;0.48;0.73;0.71;0.38
BOOKKEEPER;2;16.42;45.32;26.65;IBk;Best first;SMOTE;No;87;92;241;34;0.49;0.72;0.72;0.38
BOOKKEEPER;2;16.42;45.32;26.65;IBk;Best first;SMOTE;Sensitive Threshold;87;92;241;34;0.49;0.72;0.72;0.38
BOOKKEEPER;2;16.42;45.32;26.65;IBk;Best first;SMOTE;Sensitive Learning;87;96;237;34;0.48;0.72;0.71;0.37
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;No;No;No;34;45;288;87;0.43;0.28;0.73;0.16
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;No;No;Sensitive Threshold;34;43;290;87;0.44;0.28;0.58;0.17
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;No;No;Sensitive Learning;35;46;287;86;0.43;0.29;0.76;0.17
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;No;oversampling;No;37;49;284;84;0.43;0.31;0.72;0.17
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;No;oversampling;Sensitive Threshold;37;46;287;84;0.45;0.31;0.58;0.19
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;No;oversampling;Sensitive Learning;35;47;286;86;0.43;0.29;0.74;0.17
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;No;undersampling;No;35;44;289;86;0.44;0.29;0.72;0.18
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;No;undersampling;Sensitive Threshold;33;43;290;88;0.43;0.27;0.57;0.16
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;No;undersampling;Sensitive Learning;37;46;287;84;0.45;0.31;0.75;0.19
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;No;SMOTE;No;38;49;284;83;0.44;0.31;0.72;0.18
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;No;SMOTE;Sensitive Threshold;36;46;287;85;0.44;0.3;0.58;0.18
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;No;SMOTE;Sensitive Learning;37;48;285;84;0.44;0.31;0.75;0.18
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;Best first;No;No;44;52;281;77;0.46;0.36;0.76;0.22
BOOKKEEPER;2;16.42;45.32;26.65;Naive Bayes;Best first;No;Sensitive Threshold;35;45;288;86;0.44;0.29;0.58;0.17
