RELEASE ; FILENAME ; NR ; NAUTH; ChgSetSize ; MAX_ChgSet ; BUGGYNESS 
1;hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java;3;2;471;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java;2;2;378;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java;2;2;378;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java;2;2;378;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java;1;1;207;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java;2;2;378;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java;2;2;378;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java;4;2;499;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java;3;2;471;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java;4;2;499;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java;4;2;499;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java;6;3;501;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java;4;2;499;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java;3;2;406;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java;4;2;499;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClient.java;4;2;499;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java;5;2;500;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java;4;2;499;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java;5;2;508;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java;4;2;499;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java;1;1;207;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java;2;2;378;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java;3;3;417;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java;2;2;378;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java;4;3;476;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java;1;1;207;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Either.java;1;1;207;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java;2;2;300;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java;1;1;207;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Option.java;1;1;207;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java;1;1;207;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java;1;1;207;207;No
1;hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java;2;2;378;207;No
