RELEASE ; FILENAME ; NR ; NAUTH; ChgSetSize ; BUGGYNESS 
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java;1;1;27;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java;3;1;70;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java;3;1;45;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java;1;1;28;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java;1;1;28;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java;2;1;72;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java;4;2;45;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java;4;2;45;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java;1;1;39;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestConcurrentTopicAcquisition.java;1;1;3;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java;2;1;37;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java;1;1;33;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java;1;1;33;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java;1;1;33;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java;1;1;33;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java;1;1;33;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java;1;1;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java;1;1;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java;1;1;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java;1;1;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java;1;1;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java;1;1;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java;1;1;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java;1;1;33;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java;1;1;2;No
2;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;0;0;0;No
2;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java;0;0;0;No
2;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;0;0;0;No
