Release,Filename,LOC,NR,nAuth,locTouched,locAdded,max_locAdded,avg_locAdded,churn,max_churn,avg_churn,chgSetSize,max_chgSetSize,avg_chgSetSize,Buggy
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,140,2,2,155,152,149,51,298,149,149.0,452,281,226,Y
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,64,2,2,82,78,74,16,148,74,74.0,452,281,226,N
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,32,1,1,37,37,37,37,37,37,37.0,281,281,281,N
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,33,2,2,42,40,38,13,76,38,38.0,452,281,226,N
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,34,2,2,41,40,39,20,78,39,39.0,452,281,226,N
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,82,4,2,118,107,95,9,382,96,96.0,578,281,145,N
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,77,3,2,94,91,87,23,262,88,87.0,549,281,183,N
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,64,4,2,85,78,70,10,282,71,71.0,578,281,145,N
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,102,4,2,132,123,113,14,454,114,114.0,578,281,145,Y
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,317,6,3,492,414,329,12,1995,336,333.0,580,281,97,Y
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,76,4,2,102,93,83,10,334,84,84.0,578,281,145,N
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/impl/ClientChannelPipelineFactory.java,49,3,2,68,63,58,11,174,58,58.0,0,0,0,N
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,112,4,2,137,130,122,16,490,123,123.0,578,281,145,N
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,332,4,2,399,384,359,21,1447,369,362.0,29,29,29,Y
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,211,5,2,255,243,224,19,1146,231,229.0,579,281,116,Y
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,541,4,2,704,645,585,12,2342,586,586.0,578,281,145,Y
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,333,5,2,414,390,365,17,1827,366,365.0,592,281,118,Y
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/impl/WriteCallback.java,88,4,2,117,108,98,11,394,99,99.0,0,0,0,N
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,35,1,1,41,41,41,41,41,41,41.0,281,281,281,N
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,54,2,2,92,79,65,13,131,66,66.0,452,281,226,N
1,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,47,3,3,56,55,45,18,144,54,48.0,495,281,165,N
1,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,42,2,2,55,51,47,10,94,47,47.0,452,281,226,N
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,156,4,3,223,203,185,13,736,185,184.0,560,281,140,N
1,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,43,1,1,49,49,49,49,49,49,49.0,281,281,281,N
1,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,41,1,1,50,50,50,50,50,50,50.0,281,281,281,N
