RELEASE;FILENAME;LOC;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java;33;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java;48;2;2;300;207;150,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java;52;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java;108;4;2;499;207;124,75;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java;62;2;2;300;207;150,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java;71;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java;61;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java;42;2;2;235;207;117,50;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java;52;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java;62;3;2;406;207;135,33;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java;163;4;2;499;207;124,75;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java;44;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java;384;4;2;472;207;118,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java;33;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java;66;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java;54;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java;28;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java;53;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java;97;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java;28;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java;194;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java;158;4;3;474;207;118,50;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java;69;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java;24;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java;44;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java;374;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java;97;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java;30;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java;84;2;2;378;207;189,00;No
