Dataset;#TrainingRelease;%training;%Defective in training;%Defective in testing;Classifier;Feature Selection;Balancing;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;No;No;No;5;3;529;120;0.62;0.04;0.95;0.05
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;No;No;Sensitive Threshold;3;3;529;122;0.5;0.02;0.51;0.03
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;No;No;Sensitive Learning;13;4;528;112;0.76;0.1;0.95;0.14
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;No;oversampling;No;11;6;526;114;0.65;0.09;0.94;0.11
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;No;oversampling;Sensitive Threshold;3;2;530;122;0.6;0.02;0.51;0.03
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;No;oversampling;Sensitive Learning;82;10;522;43;0.89;0.66;0.95;0.71
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;No;undersampling;No;9;5;527;116;0.64;0.07;0.94;0.09
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;No;undersampling;Sensitive Threshold;3;3;529;122;0.5;0.02;0.51;0.03
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;No;undersampling;Sensitive Learning;27;6;526;98;0.82;0.22;0.94;0.28
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;No;SMOTE;No;36;7;525;89;0.84;0.29;0.95;0.37
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;No;SMOTE;Sensitive Threshold;6;4;528;119;0.6;0.05;0.52;0.06
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;No;SMOTE;Sensitive Learning;59;7;525;66;0.89;0.47;0.95;0.56
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;Best first;No;No;79;3;529;46;0.96;0.63;0.95;0.72
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;Best first;No;Sensitive Threshold;2;0;532;123;1;0.02;0.51;0.03
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;Best first;No;Sensitive Learning;101;7;525;24;0.94;0.81;0.95;0.84
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;Best first;oversampling;No;104;18;514;21;0.85;0.83;0.94;0.81
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;Best first;oversampling;Sensitive Threshold;21;2;530;104;0.91;0.17;0.58;0.24
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;Best first;oversampling;Sensitive Learning;109;24;508;16;0.82;0.87;0.95;0.81
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;Best first;undersampling;No;108;20;512;17;0.84;0.86;0.94;0.82
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;Best first;undersampling;Sensitive Threshold;4;2;530;121;0.67;0.03;0.51;0.04
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;Best first;undersampling;Sensitive Learning;112;29;503;13;0.79;0.9;0.94;0.8
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;Best first;SMOTE;No;105;24;508;20;0.81;0.84;0.94;0.79
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;Best first;SMOTE;Sensitive Threshold;52;2;530;73;0.96;0.42;0.71;0.53
BOOKKEEPER;6;80.21;26.96;19.03;Naive Bayes;Best first;SMOTE;Sensitive Learning;104;23;509;21;0.82;0.83;0.95;0.78
