Dataset;#TrainingRelease;%Training;%DefectiveTraining;%DefectiveTesting;Classifier;Balancing;FeatureSelection;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
bookkeeper;3;31.53;19.49;13.44;IBk;Over Sampling;Best First;24;30;350;35;0.44;0.41;0.66;0.34
bookkeeper;3;31.53;19.49;13.44;IBk;SMOTE;Best First;19;1;379;40;0.95;0.32;0.66;0.44
bookkeeper;4;45.66;17.62;74.7;Random Forest;No;No;47;4;145;393;0.92;0.11;0.68;0.04
bookkeeper;4;45.66;17.62;74.7;Random Forest;Under Sampling;No;195;22;127;245;0.9;0.44;0.64;0.2
bookkeeper;4;45.66;17.62;74.7;Random Forest;Over Sampling;No;75;10;139;365;0.88;0.17;0.65;0.06
bookkeeper;4;45.66;17.62;74.7;Random Forest;SMOTE;No;52;4;145;388;0.93;0.12;0.69;0.05
bookkeeper;4;45.66;17.62;74.7;Random Forest;No;Best First;54;4;145;386;0.93;0.12;0.67;0.05
bookkeeper;4;45.66;17.62;74.7;Random Forest;Under Sampling;Best First;162;40;109;278;0.8;0.37;0.6;0.07
bookkeeper;4;45.66;17.62;74.7;Random Forest;Over Sampling;Best First;69;11;138;371;0.86;0.16;0.64;0.05
bookkeeper;4;45.66;17.62;74.7;Random Forest;SMOTE;Best First;55;4;145;385;0.93;0.12;0.67;0.05
bookkeeper;4;45.66;17.62;74.7;Naive Bayes;No;No;42;0;149;398;1;0.1;0.68;0.05
bookkeeper;4;45.66;17.62;74.7;Naive Bayes;Under Sampling;No;45;2;147;395;0.96;0.1;0.69;0.05
bookkeeper;4;45.66;17.62;74.7;Naive Bayes;Over Sampling;No;41;1;148;399;0.98;0.09;0.69;0.05
bookkeeper;4;45.66;17.62;74.7;Naive Bayes;SMOTE;No;41;0;149;399;1;0.09;0.67;0.05
bookkeeper;4;45.66;17.62;74.7;Naive Bayes;No;Best First;2;0;149;438;1;0;0.68;0
