Dataset;#TrainingRelease;%training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature Selection;Sensitivity;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;No;No;No;95;93;244;22;0.51;0.81;0.83;0.45
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;No;No;Sensitive Threshold;5;7;330;112;0.42;0.04;0.51;0.03
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;No;No;Sensitive Learning;29;24;313;88;0.55;0.25;0.83;0.22
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;No;oversampling;No;90;106;231;27;0.46;0.77;0.79;0.37
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;No;oversampling;Sensitive Threshold;19;3;334;98;0.86;0.16;0.58;0.21
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;No;oversampling;Sensitive Learning;83;115;222;34;0.42;0.71;0.74;0.3
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;No;undersampling;No;97;116;221;20;0.46;0.83;0.81;0.38
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;No;undersampling;Sensitive Threshold;8;8;329;109;0.5;0.07;0.52;0.06
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;No;undersampling;Sensitive Learning;85;122;215;32;0.41;0.73;0.76;0.29
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;No;SMOTE;No;94;83;254;23;0.53;0.8;0.83;0.48
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;No;SMOTE;Sensitive Threshold;7;14;323;110;0.33;0.06;0.51;0.02
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;No;SMOTE;Sensitive Learning;60;68;269;57;0.47;0.51;0.77;0.3
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;Best first;No;No;88;82;255;29;0.52;0.75;0.81;0.44
BOOKKEEPER;2;16.42;45.32;25.77;Random Forest;Best first;No;Sensitive Threshold;8;8;329;109;0.5;0.07;0.52;0.06
